"","x"
"1",1.18232035375517
"2",-0.395541366522801
"3",0.254926395537128
"4",0.962617351575533
"5",-0.327169997145409
"6",0.296662436112004
"7",-0.14091782807957
"8",-0.341399793734666
"9",-1.60228895296981
"10",-0.0207918552133872
"11",0.898634900423171
"12",1.17443001887882
"13",0.818627723942302
"14",-0.359324275119237
"15",0.331155003346127
"16",-1.03190698120705
"17",0.0746530456052958
"18",0.433720045000261
"19",-0.371665117907134
"20",-0.637748104101644
"21",-1.22988903950044
"22",1.09491550937785
"23",-1.59822970353671
"24",-1.16236625522763
"25",-0.575631090001557
"26",-1.38722219182057
"27",1.40542467320896
"28",0.261715858975525
"29",1.34015819822594
"30",-0.579187532907401
"31",-0.714616272710835
"32",0.261444433379984
"33",-1.29594411689119
"34",-0.948085557788515
"35",0.447662732636864
"36",-0.438408994119763
"37",-1.95221494908754
"38",0.212485097048844
"39",1.61113820776775
"40",-2.29220917573383
"41",-0.0451536874634654
"42",0.0519072654402813
"43",0.5698921367131
"44",-0.503197854820071
"45",-1.70098894180454
"46",-0.983111133703004
"47",-1.93610186368962
"48",-2.72169566924899
"49",-1.79708006232118
"50",-2.33419119717359
"51",-0.808773410410722
"52",-2.00622142668834
"53",-3.17919695254488
"54",-0.664226872353037
"55",-1.9524511615705
"56",0.136127012552989
"57",-1.04298129769767
"58",0.0571987512455338
"59",0.39743417858628
"60",-0.392435761807608
"61",-1.20009760747417
"62",1.54459940151195
"63",-0.448921096699585
"64",1.66270238500646
"65",-1.00097717615666
"66",0.700657893469158
"67",-0.452070601811677
"68",-0.47337162267678
"69",0.478690896183507
"70",1.26012066147439
"71",0.958966300561206
"72",-1.52724102522146
"73",0.800517601681059
"74",0.718106582561192
"75",0.833261259268067
"76",-1.43907324926172
"77",-2.25597726303797
"78",-1.82588430222223
"79",1.78275919782653
"80",-0.0775511993338586
"81",0.199628579044356
"82",0.142001619707251
"83",-1.39193044513783
"84",0.99824568801579
"85",-0.118203484713967
"86",2.30093418338975
"87",-0.507485831403201
"88",0.335314618251773
"89",-0.0941353773994274
"90",0.73209018469782
"91",2.32752332592676
"92",-1.5856862871762
"93",-0.666752672927774
"94",-1.95089244458067
"95",-0.652660198748108
"96",-1.44803009185878
"97",0.244969177990352
"98",0.101699246580689
"99",-0.446751682179205
"100",0.391600876112533
"101",-0.667903797381205
"102",-0.0419095412702642
"103",0.715322146738319
"104",-0.0811972990846847
"105",0.322512125631709
"106",0.17643134577305
"107",1.54881390996502
"108",-0.27837762550735
"109",0.998650711527722
"110",0.620793603308905
"111",0.247042249574982
"112",0.730743850404742
"113",-0.866068383565292
"114",-0.0226982832117479
"115",-0.73901828166216
"116",-1.67241952226946
"117",0.0796724147728618
"118",-1.18420158023996
"119",0.149223471318323
"120",0.229727056432263
"121",-0.598949384526665
"122",-1.24504934153025
"123",-0.299605417527807
"124",0.797404082830541
"125",0.619948361355038
"126",1.69356553644738
"127",1.25379361559867
"128",0.733131649753194
"129",-0.0541061655443828
"130",-0.945957566590738
"131",-0.174317566632127
"132",0.333792464448758
"133",-1.83366586320134
"134",-1.0242388192409
"135",-0.0920548823943566
"136",-0.280028050280837
"137",-0.306824295522842
"138",0.549472086159288
"139",-0.897390681348297
"140",-0.821347274580956
"141",-1.22259129931182
"142",0.660585061264181
"143",-0.101637936615051
"144",-1.79131933101286
"145",0.769665605792996
"146",-1.24099426667201
"147",-0.0347665878526436
"148",-0.181850643690059
"149",0.720557340406108
"150",0.733944594707311
